"","X","Full Name","Team","Salary ($)","Total Minutes","Appearances","Total Possible Minutes","Appearance Weight","xGoals","Offensive Contribution to Team","Defensive Contribution to Team","Total Expected Player Contribution to Team","EPG"
"360",8,"David Horst","RSL",225008,180,2,192,0.9375,0.05,0.160665418958961,1,1.08812383027403,1.88245422637407
"187",23,"Vadim Demidov","MN",1105016,270,3,288,0.9375,0.05,0.255919362882575,0.902439024390244,1.08596098806827,1.8787125093581
"66",17,"Micheal Azira","COL",NA,1170,13,1248,0.9375,0,0.253513072277905,0.9,1.08141850526054,1.87085401410073
"211",7,"Chris Duvall","MTL",141750,1053,12,1152,0.9140625,0.06,0.309652410039883,0.871794871794872,1.07991665605208,1.8682558149701
"391",9,"Joevin Jones","SEA",186166.67,1243,14,1344,0.92485119047619,0.05,0.530732120248981,0.636363636363636,1.07938989990289,1.867344526832
"138",2,"Adolfo Machado","HOU",416508,1350,15,1440,0.9375,0.04,0.149725705989207,1,1.07786784936488,1.86471137940125
"275",1,"Aaron Long","NYRB",130000,1346,15,1440,0.934722222222222,0.06,0.171425031163103,0.974358974358974,1.07098977182828,1.85281230526292
"361",2,"Albert Rusnak","RSL",1707812.5,1230,14,1344,0.915178571428571,0.11,0.983839202243354,0.183673469387755,1.06848257894811,1.84847486158024
"115",23,"Steve Birnbaum","DC",NA,900,10,960,0.9375,0.08,0.272516914022747,0.866666666666667,1.06798460689633,1.84761336993064
"255",4,"Ben Sweat","NYC",130008,625,7,672,0.930059523809524,0.05,0.337431267181051,0.809523809523809,1.06673649247104,1.8454541319749
"445",16,"Michael Bradley","TOR",12500000,1260,14,1344,0.9375,0.01,0.335565903189582,0.8,1.06459303424023,1.8417459492356
"91",15,"Maximiliano Urruti","DAL",6e+05,970,11,1056,0.918560606060606,0.41,0.830936543249956,0.326086956521739,1.06279620717665,1.83863743841561
"212",5,"Blerim Dzemaili","MTL",NA,269,3,288,0.934027777777778,0.29,0.696134578914787,0.435897435897436,1.05734934716836,1.82921437060126
"469",17,"Matias Laba","VAN",1610500,965,11,1056,0.913825757575758,0.07,0.394573319877767,0.760869565217391,1.0558734698076,1.82666110276715
"92",24,"Walker Zimmerman","DAL",410000,834,10,960,0.86875,0.03,0.253888553172104,0.956521739130435,1.05154394143783,1.81917101868745
"470",22,"Sheanon Williams","VAN",359000,990,11,1056,0.9375,0,0.292165019792805,0.826086956521739,1.04836122779488,1.81366492408515
"446",8,"Eriq Zavaleta","TOR",236300,1189,14,1344,0.884672619047619,0.02,0.183874792568334,1,1.04734161336589,1.81190099112298
"46",15,"Nicolai Naess","CLB",477500,1249,14,1344,0.929315476190476,0.02,0.12565755242419,1,1.04609098435849,1.80973740294019
"431",16,"Seth Sinovic","SKC",257666.67,1350,15,1440,0.9375,0.02,0.422940633360712,0.692307692307692,1.04554530531413,1.80879337819344
"188",12,"Jerome Thiesson","MN",381166.67,1155,13,1248,0.925480769230769,0.01,0.294794730807304,0.829268292682927,1.0402987116436,1.79971677114343
"161",5,"Bradley Diallo","LA",130008,596,7,672,0.886904761904762,0.04,0.172488268551829,1,1.03988542865609,1.79900179157503
"276",15,"Michael Amir Murillo","NYRB",NA,360,4,384,0.9375,0.03,0.210961611419607,0.897435897435897,1.03912266455204,1.79768220967502
