"","X","Full Name","Team","Salary ($)","Total Minutes","Appearances","Total Possible Minutes","Appearance Weight","xGoals","Offensive Contribution to Team","Defensive Contribution to Team","Total Expected Player Contribution to Team","EPG"
"451",20,"Steven Beitashour","TOR",514000,1072,12,1152,0.930555555555556,0.01,0.202565449557277,0.6,0.746831737782466,1.29201890636367
"476",3,"Ben McKendry","VAN",130000,90,1,96,0.9375,0,0.187144789982011,0.608695652173913,0.746100414521179,1.29075371712164
"75",16,"Mekeil Williams","COL",225000,542,7,672,0.806547619047619,0,0.27476457406883,0.65,0.7458666653948,1.290349331133
"323",16,"Keegan Rosenberry","PHI",214812.5,596,8,768,0.776041666666667,0.01,0.109186349155,0.85,0.744368573042161,1.28775763136294
"168",18,"Joao Pedro","LA",261000,1137,13,1248,0.911057692307692,0.04,0.186933672346136,0.627450980392157,0.74195140237455,1.28357592610797
"214",13,"Hernan Bernardello","MTL",576000,826,11,1056,0.78219696969697,0.02,0.281063616638715,0.666666666666667,0.74131175569152,1.28246933734633
"477",2,"Andrew Jacobson","VAN",325000,783,10,960,0.815625,0.08,0.513636715653077,0.391304347826087,0.738092554900193,1.27690011997733
"282",3,"Aurelien Collin","NYRB",9e+05,325,5,480,0.677083333333333,0.14,0.20507570846887,0.871794871794872,0.729131122053575,1.26139684115269
"372",25,"Tony Beltran","RSL",NA,532,6,576,0.923611111111111,0,0.187095749905482,0.591836734693878,0.719430697581352,1.24461510681574
"240",14,"Kei Kamara","NE",1600000,985,13,1248,0.78926282051282,0.36,0.664304620092836,0.244897959183674,0.717599792137309,1.24144764039754
"8",9,"Hector Villalba","ATL",1433750,1078,13,1248,0.863782051282051,0.32,0.681125374169567,0.142857142857143,0.711741308777879,1.23131246418573
"241",20,"Xavier Kouassi","NE",1730541.75,924,12,1152,0.802083333333333,0.04,0.191799928709786,0.693877551020408,0.71038714520026,1.22896976119645
"124",15,"Marcelo Sarvas","DC",785000,693,11,1056,0.65625,0.11,0.293393673373733,0.777777777777778,0.702956264818179,1.21611433813545
"215",15,"Kyle Fisher","MTL",106008,506,7,672,0.75297619047619,0.06,0.23984387166966,0.692307692307692,0.70188793359009,1.21426612511086
"216",12,"Hassoun Camara","MTL",510000,377,6,576,0.654513888888889,0.03,0.165312711584363,0.897435897435897,0.695583725001108,1.20335984425192
"76",19,"Mohammed Saeid","COL",330000,688,9,864,0.796296296296296,0.05,0.421667035090739,0.45,0.694105231646329,1.20080205074815
"9",11,"Jeff Larentowicz","ATL",350016,885,12,1152,0.768229166666667,0.03,0.161700767093366,0.738095238095238,0.691249535236037,1.19586169595834
"283",9,"Felipe",NA,NA,1341,15,1440,0.93125,NA,0.0734891170400665,0.666666666666667,0.689270073576895,1.19243722728803
"324",19,"Raymon Gaddis","PHI",332500,664,8,768,0.864583333333333,0.02,0.118577108287374,0.675,0.686113541540126,1.18697642686442
"125",16,"Maxim Tissot",NA,130000,90,1,96,0.9375,NA,0.0516861891604461,0.666666666666667,0.673455802337918,1.1650785380446
"284",18,"Sal Zizzo","NYRB",220000,708,10,960,0.7375,0,0.284567851425884,0.615384615384615,0.663714944272744,1.14822685359185
"10",5,"Carlos Carmona","ATL",1400000,988,12,1152,0.857638888888889,0.03,0.224849719894675,0.547619047619048,0.662499255471838,1.14612371196628
"193",22,"Sam Cronin","MN",606250,707,8,768,0.920572916666667,0.02,0.253421495018328,0.463414634146341,0.659899926197163,1.14162687232109
"452",23,"Victor Vazquez","TOR",1330000,942,14,1344,0.700892857142857,0.18,0.73774528458612,0.2,0.657258971785808,1.13705802118945
"453",15,"Marco Delgado","TOR",420000,579,8,768,0.75390625,0.03,0.190626235009255,0.675,0.652601028737446,1.12899977971578
"217",22,"Victor Cabrera","MTL",520000,276,5,480,0.575,0.02,0.133133824732013,1,0.651551949220907,1.12718487215217
"218",21,"Patrice Bernier","MTL",330000,844,12,1152,0.732638888888889,0.04,0.443232825962813,0.435897435897436,0.644085018237891,1.11426708155155
"413",3,"Cordell Cato","SJ",275666.67,786,10,960,0.81875,0.05,0.238217533501325,0.547619047619047,0.643403700792305,1.11308840237069
"54",11,"Jukka Raitala","CLB",286674.67,914,12,1152,0.793402777777778,0.02,0.18088619331274,0.628571428571429,0.642225925696293,1.11105085145459
"394",10,"Jordan Morris","SEA",462500,1085,13,1248,0.869391025641026,0.31,0.599046980572926,0.136363636363636,0.639359390525777,1.10609174560959
"33",17,"Luis Solignac","CHI",603312.34,820,13,1248,0.657051282051282,0.21,0.540989293478211,0.418604651162791,0.630502431575017,1.09076920662478
"285",12,"Justin Bilyeu","NYRB",108150,90,1,96,0.9375,0.02,0.228438869628841,0.435897435897436,0.622815286430885,1.07747044552543
"325",10,"Giliano Wijnaldum","PHI",143341.33,90,1,96,0.9375,0,0.164101639701294,0.5,0.622595287219964,1.07708984689054
"350",19,"Sebastian Blanco","POR",2075016,1130,14,1344,0.84077380952381,0.13,0.396572910763267,0.342105263157895,0.621061262299786,1.07443598377863
"302",19,"Tommy Redding",NA,227500,587,7,672,0.873511904761905,NA,0.0498223426000085,0.659574468085106,0.619666559333575,1.07202314764708
"478",11,"Jakob Nerwinski",NA,NA,180,2,192,0.9375,NA,0.0443962147531754,0.608695652173913,0.612273625244145,1.05923337167237
"169",21,"Nathan Smith","LA",106008,464,6,576,0.805555555555556,0,0.152010208483343,0.607843137254902,0.61210408406692,1.05894006543577
"77",14,"Marc Burch","MN",270000,270,3,288,0.9375,0,0.302549509673377,0.35,0.611765165318791,1.05835373600151
"126",7,"Jalen Robinson",NA,139992,90,1,96,0.9375,NA,0.051678799718711,0.6,0.610948874736292,1.05694155329378
"414",5,"Darwin Ceren","SJ",449375,879,12,1152,0.763020833333333,0.06,0.199523189174964,0.595238095238095,0.606419417533923,1.04910559233369
"194",9,"Ibson",NA,NA,890,11,1056,0.84280303030303,NA,0.0815982411999936,0.634146341463415,0.603231703191698,1.04359084652164
"415",9,"Jahmir Hyka","SJ",990008,1007,15,1440,0.699305555555556,0.29,0.695514901029597,0.166666666666667,0.602928360187596,1.04306606312454
"416",7,"Fatai Alashe","SJ",212600,889,12,1152,0.771701388888889,0.05,0.159649377992949,0.619047619047619,0.600921554139813,1.03959428866188
"326",5,"Chris Pontius","PHI",831000,1105,14,1344,0.822172619047619,0.12,0.453740878998518,0.275,0.599150797093276,1.03653087897137
"373",10,"Jefferson Savarino","RSL",NA,328,5,480,0.683333333333333,0.23,0.788115089486426,0.0816326530612245,0.594327624074227,1.02818678964841
"97",19,"Roland Lamah","DAL",1403500,879,13,1248,0.704326923076923,0.29,0.603236347400222,0.239130434782609,0.593301603797042,1.02641177456888
"78",6,"Dillon Powers","COL",620000,847,12,1152,0.735243055555556,0.01,0.229274318750138,0.575,0.591337107622714,1.0230131961873
"79",4,"Bobby Burling","COL",246000,641,9,864,0.741898148148148,0.02,0.120032696266621,0.675,0.589833285077436,1.02041158318396
"454",18,"Raheem Edwards","TOR",106008,731,12,1152,0.634548611111111,0.11,0.375290154610802,0.55,0.58714158248307,1.01575493769571
"374",26,"Yura Movsisyan","RSL",3723750,1057,16,1536,0.688151041666667,0.38,0.770229653318547,0.0816326530612245,0.586209933491809,1.01414318494083
"303",14,"Matias Perez Garcia","ORL",NA,785,12,1152,0.681423611111111,0.11,0.366922072077708,0.48936170212766,0.583491981554873,1.00944112808993
"455",5,"Chris Mavinga","TOR",565699.6,555,9,864,0.642361111111111,0.02,0.158098409031333,0.75,0.583327103023599,1.00915588823083
"11",13,"Julian Gressel","ATL",168750,933,13,1248,0.747596153846154,0.1,0.490981741674373,0.285714285714286,0.580654962783348,1.00453308561519
"195",20,"Mohammed Saeid","COL",330000,243,3,288,0.84375,0.05,0.393273403661785,0.292682926829268,0.578775653851826,1.00128188116366
"261",3,"Andrea Pirlo","NYC",11515690,616,8,768,0.802083333333333,0.03,0.289228194396594,0.428571428571428,0.575735114255602,0.996021747662191
"170",10,"Emmanuel Boateng","LA",230000,842,13,1248,0.674679487179487,0.16,0.376392183303411,0.470588235294118,0.571440314470448,0.988591744033875
"34",21,"Michael de Leeuw","CHI",NA,855,13,1248,0.685096153846154,0.18,0.426582250430095,0.395348837209302,0.563101826868337,0.974166160482224
"196",13,"Johan Venegas","MN",442500,825,12,1152,0.716145833333333,0.24,0.686693881683781,0.0975609756097561,0.561640848322195,0.971638667597397
"144",7,"DaMarcus Beasley","HOU",667016,913,11,1056,0.864583333333333,0,0.164413797047242,0.478260869565217,0.555645805508689,0.961267243530032
"55",4,"Connor Maloney","CLB",106008,45,1,96,0.46875,0,0.746988154447345,0.428571428571428,0.55104355454005,0.953305349354286
"262",23,"Yangel Herrera","NYC",247114.08,241,5,480,0.502083333333333,0.17,0.402877856588067,0.69047619047619,0.548954844463513,0.949691880921877
"286",5,"Connor Lade","NYRB",177812.5,466,7,672,0.693452380952381,0.02,0.150243024695654,0.641025641025641,0.548707140217446,0.949263352576181
"12",17,"Mark Bloom",NA,205798.89,163,2,192,0.848958333333333,NA,0.0407252815611944,0.595238095238095,0.539906408428564,0.934038086581415
"145",20,"Romell Quioto","HOU",412508,572,10,960,0.595833333333333,0.32,0.681647126538704,0.217391304347826,0.535677065069891,0.926721322570911
"127",4,"Chris Korb",NA,NA,301,4,384,0.783854166666667,NA,0.0333125886008033,0.644444444444445,0.531262674340155,0.919084426608469
"146",11,"Jalil Anibaba","HOU",220008,282,4,384,0.734375,0.01,0.111087537339229,0.608695652173913,0.528590779798713,0.914462049051774
"56",2,"Alex Crognale","CLB",169992,628,11,1056,0.59469696969697,0.07,0.13698201297338,0.742857142857143,0.523237679793152,0.905201186042153
"147",19,"Ricardo Clark","HOU",707820,980,13,1248,0.78525641025641,0.03,0.134944592522749,0.521739130434782,0.515665102963446,0.892100628126761
"395",7,"Harry Shipp","SEA",NA,719,12,1152,0.624131944444444,0.16,0.393854064449561,0.431818181818182,0.515328424536899,0.891518174448834
"148",3,"Alberth Elis","HOU",846000,836,13,1248,0.669871794871795,0.48,0.745217606558108,0.0217391304347826,0.513762685998442,0.888809446777305
"304",2,"Carlos Rivas","ORL",750000,1090,15,1440,0.756944444444444,0.17,0.614433918580788,0.0638297872340426,0.513407943984837,0.888195743093767
"375",24,"Sunny",NA,NA,795,11,1056,0.752840909090909,NA,0.0490289080376092,0.63265306122449,0.51319807345016,0.887832667068776
"197",6,"Collen Warner","MN",460008,728,11,1056,0.689393939393939,0.02,0.17486143876916,0.560975609756098,0.507281601634837,0.877597170828268
"128",12,"Lamar Neagle","DC",402833.33,757,14,1344,0.563244047619048,0.27,0.496852108996231,0.4,0.505146611986716,0.873903638737019
"35",16,"Juninho",NA,NA,654,9,864,0.756944444444444,NA,0.0604655343310945,0.604651162790698,0.503456388793579,0.870979552612891
"57",10,"Josh Williams","CLB",220008,479,7,672,0.712797619047619,0,0.0766275070786805,0.628571428571429,0.502664122286313,0.869608931555321
"171",9,"Dave Romney","LA",NA,495,9,864,0.572916666666667,0.16,0.303681928151532,0.568627450980392,0.499760581794332,0.864585806504194
"242",10,"Gershon Koffie","NE",NA,281,4,384,0.731770833333333,0.05,0.172338061344362,0.510204081632653,0.49946443275141,0.864073468659939
"219",4,"Ballou Jean-Yves Tabla","MTL",148999.8,646,10,960,0.672916666666667,0.15,0.477753576146328,0.256410256410256,0.494031078991202,0.854673766654779
"98",23,"Walker Hume",NA,106008,90,1,96,0.9375,NA,0.0655104952730656,0.456521739130435,0.489405219753282,0.846671030173177
"243",18,"Scott Caldwell","NE",240000,1039,15,1440,0.721527777777778,0.06,0.228969120496635,0.448979591836735,0.489158827857202,0.846244772192959
"80",18,"Mike da Fonte",NA,NA,225,3,288,0.78125,NA,0,0.625,0.48828125,0.8447265625
"305",1,"Antonio Nocerino","ORL",1650000,913,13,1248,0.731570512820513,0.03,0.152598846663677,0.51063829787234,0.485204737949826,0.8394041966532
"244",5,"Chris Tierney","NE",288333.33,832,13,1248,0.666666666666667,0.1,0.318509395209178,0.408163265306123,0.484448440343534,0.838095801794314
"172",22,"Rafael Garcia",NA,165000,473,7,672,0.703869047619048,NA,0.0353563269075115,0.647058823529412,0.480330902018846,0.830972460492604
"149",17,"Mauro Manotas","HOU",431492.16,827,14,1344,0.615327380952381,0.5,0.643778482071292,0.130434782608696,0.47639462045413,0.824162693385644
"435",12,"Latif Blessing","SKC",139383,358,8,768,0.466145833333333,0.64,0.914070874127198,0.102564102564103,0.47390015840558,0.819847274041654
"327",6,"Derrick Jones","PHI",135900,467,8,768,0.608072916666667,0.03,0.0982388499843476,0.675,0.470185602789961,0.813421092826633
"220",10,"Dominic Oduro","MTL",660000,789,11,1056,0.747159090909091,0.26,0.43375369000537,0.17948717948718,0.458188490558354,0.792666088665953
"129",10,"Julian Buescher","DC",174700,144,3,288,0.5,0.31,0.730878445735624,0.177777777777778,0.454328111756701,0.785987633339093
"99",17,"Michael Barrios","DAL",2e+05,791,13,1248,0.633814102564103,0.18,0.586281144778532,0.130434782608696,0.454264662310334,0.785877865796878
"287",2,"Alex Muyl","NYRB",135250,738,14,1344,0.549107142857143,0.34,0.507265281410545,0.307692307692308,0.447499033302013,0.774173327612482
"376",23,"Sebastian Saucedo","RSL",190500,448,8,768,0.583333333333333,0.24,0.415883510240653,0.346938775510204,0.444979666688,0.76981482337024
"396",11,"Jordy Delem","SEA",106008,500,10,960,0.520833333333333,0,0.143450185749702,0.704545454545454,0.441664395987061,0.764079405057615
"397",20,"Will Bruin","SEA",651666.67,527,12,1152,0.457465277777778,0.68,0.801050486608621,0.136363636363636,0.428834412158315,0.741883533033886
"150",9,"Eric Alexander","HOU",393750,608,8,768,0.791666666666667,0.01,0.237306316568748,0.304347826086956,0.428809529602433,0.741840486212209
"198",15,"Justin Davis","MN",169750,283,5,480,0.589583333333333,0,0.165382886542165,0.560975609756098,0.428248863442517,0.740870533755555
"173",12,"Gyasi Zardes","LA",1155000,731,9,864,0.846064814814815,0.2,0.287202411921976,0.215686274509804,0.425476423358369,0.736074212409979
"417",10,"Kofi Sarkodie","SJ",275000,395,6,576,0.685763888888889,0,0.118729966722697,0.5,0.42430266815185,0.7340436159027
"479",21,"Russell Teibert","VAN",320500,374,6,576,0.649305555555556,0.08,0.213541671149182,0.434782608695652,0.420960556704806,0.728261763099314
"263",16,"Mikey Lopez","NYC",150000,265,4,384,0.690104166666667,0,0.14938801228884,0.452380952380952,0.41528326988931,0.718440056908507
"199",11,"Jermaine Taylor","MN",260008,359,7,672,0.53422619047619,0.03,0.140554101395057,0.634146341463415,0.413865266348499,0.715986910782903
"456",4,"Benoit Cheyrou","TOR",130008,345,7,672,0.513392857142857,0.11,0.22970670298778,0.575,0.413130673408905,0.714716064997405
"58",3,"Artur",NA,NA,754,12,1152,0.654513888888889,NA,0,0.628571428571429,0.41140873015873,0.711737103174603
"221",18,"Matteo Mancosu","MTL",1419541.83,634,8,768,0.825520833333333,0.23,0.386965840241656,0.102564102564103,0.404117166326629,0.699122697745068
"418",11,"Marco Urena","SJ",564424.67,1076,15,1440,0.747222222222222,0.23,0.538251445509309,0,0.402193441227789,0.695794653324076
"480",25,"Tony Tchani","VAN",583333.33,597,9,864,0.690972222222222,0.12,0.277425580388292,0.304347826086956,0.401989263501994,0.69544142585845
"398",16,"Roman Torres","SEA",941812.5,376,7,672,0.55952380952381,0.09,0.149585503607899,0.568181818181818,0.401607906239485,0.694781677794308
"436",15,"Saad Abdul-Salaam","SKC",207350,92,3,288,0.319444444444444,0.69,0.889453428543812,0.333333333333333,0.390612437821866,0.675759517431828
"288",19,"Sean Davis","NYRB",237500,619,11,1056,0.586174242424242,0.07,0.178950277548214,0.487179487179487,0.390468110195499,0.675509830638213
"306",18,"Servando Carrasco","ORL",229992,498,9,864,0.576388888888889,0.07,0.246205299114745,0.425531914893617,0.387181866407597,0.669824628885143
"377",12,"Jordan Allen","RSL",356000,113,2,192,0.588541666666667,0.21,0.222439260676264,0.408163265306122,0.371135861645884,0.642065040647379
"100",21,"Tesho Akindele","DAL",207500,741,13,1248,0.59375,0.23,0.422389228152964,0.195652173913043,0.366962082476692,0.634844402684677
"419",4,"Danny Hoesen","SJ",928133,707,15,1440,0.490972222222222,0.4,0.55946288661969,0.166666666666667,0.356509440398232,0.616761331888941
"130",18,"Patrick Mullins","DC",258250,401,8,768,0.522135416666667,0.39,0.476626422637275,0.2,0.353290619111389,0.611192771062704
"457",22,"Tsubasa Endoh",NA,108150,85,1,96,0.885416666666667,NA,0.0381532524189617,0.35,0.343677358912622,0.594561830918837
"59",5,"Ethan Finlay","CLB",580000,878,13,1248,0.703525641025641,0.13,0.259103621751139,0.228571428571429,0.343091902390396,0.593548991135385
"399",14,"Oniel Fisher","SEA",131250,387,7,672,0.575892857142857,0.03,0.138036403232892,0.454545454545455,0.341263659166994,0.5903861303589
"351",20,"Victor Arboleda","POR",130000.08,27,1,96,0.28125,1.33,1,0.210526315789474,0.340460526315789,0.588996710526316
"307",6,"Giles Barnes","ORL",1506250,801,15,1440,0.55625,0.24,0.376779012880782,0.234042553191489,0.339769496127701,0.587801228300923
"200",19,"Miguel Ibarra","MN",612330,714,12,1152,0.619791666666667,0.11,0.447331957537526,0.0975609756097561,0.337720099190242,0.584255771599119
"151",15,"Kevin Garcia","HOU",131266.8,121,2,192,0.630208333333333,0,0.206964885768196,0.326086956521739,0.335933713109803,0.581165323679959
"264",17,"RJ Allen","NYC",201666.83,252,5,480,0.525,0,0.136678854083832,0.5,0.334256398394012,0.57826356922164
"101",2,"Atiba Harris","DAL",310008,565,12,1152,0.490451388888889,0.03,0.106873109298508,0.565217391304348,0.329627719479699,0.57025595469988
"131",22,"Sebastien Le Toux","DC",265008,534,11,1056,0.505681818181818,0.12,0.468948378500841,0.177777777777778,0.32703765857271,0.565775149330789
"328",9,"Fabrice-Jean Picault","PHI",NA,584,11,1056,0.553030303030303,0.32,0.3111792107892,0.275,0.324174866572815,0.56082251917097
"152",6,"Boniek Garcia","HOU",472500,551,11,1056,0.521780303030303,0.04,0.334909088173812,0.282608695652174,0.322208616371324,0.55742090632239
"308",3,"Cristian Higuita","ORL",3e+05,800,15,1440,0.555555555555556,0.03,0.231613748663882,0.340425531914894,0.317799600321542,0.549793308556268
"102",18,"Paxton Pomykal","DAL",145000,140,2,192,0.729166666666667,0.07,0.196304142560752,0.239130434782609,0.317504379312867,0.54928257621126
"309",13,"Luis Gil","ORL",288000,470,11,1056,0.445075757575758,0.11,0.26396570195278,0.446808510638298,0.316348371134286,0.547282682062315
"329",12,"Ilsinho",NA,NA,705,10,960,0.734375,NA,0.0279863502099115,0.4,0.314302475935404,0.543743283368249
"458",2,"Armando Cooper","TOR",391333.33,605,11,1056,0.572916666666667,0.04,0.171784455744878,0.375,0.313261927770503,0.541943135042971
"81",1,"Alan Gordon","COL",360000,331,8,768,0.430989583333333,0.25,0.612723656173258,0.1,0.307176471605922,0.531415295878246
"103",9,"Javier Morales","DAL",615000,325,6,576,0.564236111111111,0.18,0.341695886522922,0.195652173913043,0.303191179933487,0.524520741284933
"201",21,"Rasmus Schuller","MN",425008,314,6,576,0.545138888888889,0.03,0.150392424520065,0.390243902439024,0.294721886571448,0.509868863768605
"222",1,"Adrian Arregui","MTL",530976.67,239,6,576,0.414930555555556,0,0.168459242601693,0.538461538461539,0.293323032420334,0.507448846087178
"265",7,"Frederic Brillant","NYC",NA,219,6,576,0.380208333333333,0.05,0.122124319423998,0.642857142857143,0.290852326804809,0.503174525372319
"437",18,"Soony Saad","SKC",130008,327,9,864,0.378472222222222,0.3,0.614638105245613,0.153846153846154,0.290849945281259,0.503170405336578
"459",9,"Jason Hernandez",NA,130008,136,2,192,0.708333333333333,NA,0.0072591547037815,0.4,0.288475234581845,0.499062155826592
"378",21,"Reagan Dunk",NA,106008,174,3,288,0.604166666666667,NA,0.00666323308454455,0.469387755102041,0.287614138696062,0.497572459944187
"60",14,"Mohammed Abu","CLB",336250,601,10,960,0.626041666666667,0.02,0.12941087114957,0.314285714285714,0.277772549840215,0.480546511223571
"223",8,"Daniel Lovitz","MTL",157500,246,7,672,0.366071428571429,0.1,0.191217968669186,0.564102564102564,0.276501266461087,0.47834719097768
"266",22,"Thomas McNamara","NYC",370000.08,453,12,1152,0.393229166666667,0.28,0.393102726550399,0.30952380952381,0.276293247258348,0.477987317756941
"481",16,"Marcel de Jong","VAN",280000,92,3,288,0.319444444444444,0.04,0.220766071404513,0.630434782608696,0.271911383920886,0.470406694183133
"420",16,"Tommy Thompson","SJ",305000,487,13,1248,0.390224358974359,0.17,0.478211631887308,0.214285714285714,0.270229333001812,0.467496746093135
"174",7,"Clement Diop",NA,131250,450,5,480,0.9375,NA,0.0277822243869632,0.254901960784314,0.265016423598072,0.458478412824665
"400",2,"Brad Evans","SEA",638501.25,259,6,576,0.449652777777778,0,0.108402695426419,0.477272727272727,0.263350580692845,0.455596504598622
"482",9,"Erik Hurtado","VAN",256250,182,4,384,0.473958333333333,0.17,0.400985512888718,0.152173913043478,0.262174519582447,0.453561918877634
"132",9,"Jose Guillermo Ortiz","DC",267617,496,11,1056,0.46969696969697,0.23,0.416806688643137,0.133333333333333,0.258399101231372,0.447030445130274
"153",4,"Alex",NA,NA,1226,15,1440,0.851388888888889,NA,0.0395460317601726,0.260869565217391,0.25577050131562,0.442482967276023
"401",1,"Aaron Kovar","SEA",132500,36,1,96,0.375,0.09,0.314934147392021,0.340909090909091,0.245941214362917,0.425478300847846
"352",4,"Dairon Asprilla","POR",276000,463,10,960,0.482291666666667,0.14,0.192066393986684,0.31578947368421,0.244934652845442,0.423736949422614
"460",21,"Tosaint Ricketts","TOR",373166.67,545,12,1152,0.473090277777778,0.36,0.407855242491368,0.1,0.240261377741142,0.415652183492176
"353",13,"Jeff Attinella",NA,205083.33,270,3,288,0.9375,NA,0.0149202878873971,0.236842105263158,0.236027243578645,0.408327131391056
"330",3,"Andre Blake",NA,335000,1260,14,1344,0.9375,NA,0.017272209435772,0.225,0.227130196346036,0.392935239678643
"175",3,"Baggio Husidic","LA",350000,394,8,768,0.513020833333333,0.02,0.0880275007841151,0.352941176470588,0.226226118279106,0.391371184622853
"104",22,"Victor Ulloa","DAL",302500,303,6,576,0.526041666666667,0.06,0.256114735271801,0.173913043478261,0.226212529446647,0.391347675942699
"224",3,"Anthony Jackson-Hamel","MTL",132300,295,8,768,0.384114583333333,0.33,0.582556329896927,0,0.223768381926554,0.387119300732938
"105",6,"Cristian Colman","DAL",685000,497,11,1056,0.470643939393939,0.31,0.387396680379741,0.0869565217391305,0.223251459709355,0.386225025297184
"379",4,"Chad Barrett","RSL",204000,65,3,288,0.225694444444444,0.55,0.974513575788255,0,0.219942300091099,0.380500179157602
"106",8,"Jacori Hayes",NA,137500.08,46,1,96,0.479166666666667,NA,0.0212271332956811,0.434782608695652,0.218504668037514,0.378013075704899
"36",15,"Jorge Bava",NA,NA,720,8,768,0.9375,NA,0.0218606360148937,0.209302325581395,0.216715276496521,0.374917428338981
"354",12,"Jake Gleeson",NA,225166.67,990,11,1056,0.9375,NA,0.0184578515796805,0.210526315789474,0.214672656908582,0.371383696451847
"107",3,"Carlos Cermeno","DAL",243000,187,4,384,0.486979166666667,0.04,0.113831471375553,0.326086956521739,0.214231109418734,0.370619819294409
"461",10,"Jay Chapman","TOR",198500,175,4,384,0.455729166666667,0.08,0.180876652222029,0.275,0.207756286819935,0.359418376198487
"225",11,"Evan Bush",NA,273500,1080,12,1152,0.9375,NA,0.04077369875922,0.17948717948718,0.206494573356,0.357235611905879
"82",24,"Zac MacMath","COL",3e+05,450,5,480,0.9375,0,0.118196313452118,0.1,0.20455904386136,0.353887145880153
"355",2,"Amobi Okugo","POR",252945.5,144,4,384,0.375,0,0.0690649339267547,0.473684210526316,0.203530929169901,0.352108507463929
"356",3,"Ben Zemanski","POR",214000,51,1,96,0.53125,0.04,0.143218865783767,0.236842105263158,0.201907390868679,0.349299786202814
"483",1,"Alphonso Davies","VAN",130000,501,11,1056,0.474431818181818,0.11,0.22234759402135,0.195652173913043,0.198312389900692,0.343080434528198
"108",11,"Jesus Ferreira","DAL",106000,19,1,96,0.197916666666667,1.39,1,0,0.197916666666667,0.342395833333333
"226",6,"Calum Mallace","MTL",246250,146,3,288,0.506944444444444,0.07,0.126958910600844,0.256410256410256,0.194346869387572,0.336220084040499
"37",14,"Jonathan Campbell","CHI",211625,296,8,768,0.385416666666667,0,0.0837622601168512,0.418604651162791,0.193620580389029,0.33496360407302
"109",10,"Jesse Gonzalez",NA,179375,900,10,960,0.9375,NA,0.0306652654875567,0.173913043478261,0.191792164655454,0.331800444853935
"331",7,"Fabian Herbers","PHI",245500,396,12,1152,0.34375,0.18,0.291599348644354,0.25,0.186174776096497,0.32208236264694
"332",21,"Roland Alberg","PHI",739250,355,9,864,0.41087962962963,0.42,0.302794927967962,0.15,0.186044212301651,0.321856487281856
"438",7,"Igor Juliao","SKC",215016,46,1,96,0.479166666666667,0.12,0.234302252426273,0.153846153846154,0.185987778005538,0.321758855949581
"83",11,"Joshua Gatt","COL",368516,150,5,480,0.3125,0.07,0.443367056850742,0.15,0.185427205265857,0.320789065109932
"402",17,"Seyi Adekoya","SEA",106008,77,2,192,0.401041666666667,0.59,0.456486718220677,0,0.183070194286417,0.316711436115502
"439",19,"Tim Melia","SKC",332500,1350,15,1440,0.9375,0,0.0878119863949293,0.102564102564103,0.178477583399092,0.30876621928043
"13",10,"Jacob Peterson","ATL",330600,92,3,288,0.319444444444444,0.57,0.499510721643921,0.0476190476190476,0.174777565181226,0.302365187763521
"380",20,"Omar Holness","RSL",243500,261,9,864,0.302083333333333,0.24,0.373593438926204,0.204081632653061,0.174506011206236,0.301895399386789
"333",22,"Warren Creavalle",NA,263000,111,4,384,0.2890625,NA,0.0163330081823132,0.575,0.1709321976777,0.295712701982421
"310",8,"Joe Bendik",NA,339083.4,1350,15,1440,0.9375,NA,0.0324483796223101,0.148936170212766,0.170048015470384,0.294183066763764
"61",13,"Kekuta Manneh","CLB",307250,240,5,480,0.5,0.09,0.0521404446721809,0.285714285714286,0.168927365193233,0.292244341784294
"38",1,"Arturo Alvarez","CHI",277500,276,9,864,0.319444444444444,0.12,0.291804457267217,0.232558139534884,0.167504718422893,0.289783162871606
"403",21,"Álvaro Fernandez",NA,NA,492,10,960,0.5125,NA,0,0.318181818181818,0.163068181818182,0.282107954545454
"462",6,"Clint Irwin",NA,411320.7,310,4,384,0.807291666666667,NA,0,0.2,0.161458333333333,0.279322916666667
"289",10,"Fredrik Gulbrandsen","NYRB",720000,365,12,1152,0.316840277777778,0.33,0.506783252818657,0,0.160569346596189,0.277784969611407
"484",19,"Nicolas Mezquida","VAN",240000,271,10,960,0.282291666666667,0.08,0.413565365781319,0.152173913043478,0.15970348391825,0.276287027178573
"133",25,"Travis Worra",NA,131250,90,1,96,0.9375,NA,0.0147315910431283,0.155555555555556,0.159644199936266,0.27618446588974
"381",16,"Luis Silva","RSL",408674.67,557,14,1344,0.414434523809524,0.19,0.299986513496241,0.0816326530612245,0.158156157568831,0.273610152594077
"463",11,"Jonathan Osorio","TOR",391999.63,473,13,1248,0.37900641025641,0.09,0.263707292102862,0.15,0.156797715676806,0.271260048120874
"14",14,"Kenwyne Jones","ATL",803333.33,417,12,1152,0.361979166666667,0.24,0.306562447443285,0.119047619047619,0.154061977193322,0.266527220544447
"245",4,"Brad Knighton",NA,201820.5,90,1,96,0.9375,NA,0,0.163265306122449,0.153061224489796,0.264795918367347
"485",23,"Spencer Richey",NA,130008,90,1,96,0.9375,NA,0.0296112951065,0.130434782608696,0.150043197857996,0.259574732294333
"15",1,"Alec Kann",NA,154008,1170,13,1248,0.9375,NA,0.0392406250588333,0.119047619047619,0.148395228849799,0.256723745910152
